Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation
M339,yes,yes,2,flat,summed,log,cos,space
M340,yes,yes,2,flat,summed,log,cos,graph
M341,yes,yes,2,flat,summed,log,corr,space
M342,yes,yes,2,flat,summed,log,corr,graph
M343,yes,yes,2,flat,summed,log,r_distance,space
M344,yes,yes,2,flat,summed,log,r_distance,graph
M345,yes,yes,2,flat,summed,log,r_cos,space
M346,yes,yes,2,flat,summed,log,r_cos,graph
M347,yes,yes,2,flat,summed,log,r_corr,space
M348,yes,yes,2,flat,summed,log,r_corr,graph
M349,yes,yes,2,flat,summed,log,cooc,space
M350,yes,yes,2,flat,summed,log,cooc,graph
M351,yes,yes,2,flat,summed,ppmi,distance,space
M352,yes,yes,2,flat,summed,ppmi,distance,graph
M353,yes,yes,2,flat,summed,ppmi,cos,space
M354,yes,yes,2,flat,summed,ppmi,cos,graph
M355,yes,yes,2,flat,summed,ppmi,corr,space
M356,yes,yes,2,flat,summed,ppmi,corr,graph
M357,yes,yes,2,flat,summed,ppmi,r_distance,space
M358,yes,yes,2,flat,summed,ppmi,r_distance,graph
M359,yes,yes,2,flat,summed,ppmi,r_cos,space
M360,yes,yes,2,flat,summed,ppmi,r_cos,graph
M361,yes,yes,2,flat,summed,ppmi,r_corr,space
M362,yes,yes,2,flat,summed,ppmi,r_corr,graph
M363,yes,yes,2,flat,summed,ppmi,cooc,space
M364,yes,yes,2,flat,summed,ppmi,cooc,graph
M365,yes,yes,2,flat,summed,non,distance,space
M366,yes,yes,2,flat,summed,non,distance,graph
M367,yes,yes,2,flat,summed,non,cos,space
M368,yes,yes,2,flat,summed,non,cos,graph
M369,yes,yes,2,flat,summed,non,corr,space
M370,yes,yes,2,flat,summed,non,corr,graph
M371,yes,yes,2,flat,summed,non,r_distance,space
M372,yes,yes,2,flat,summed,non,r_distance,graph
M373,yes,yes,2,flat,summed,non,r_cos,space
M374,yes,yes,2,flat,summed,non,r_cos,graph
M375,yes,yes,2,flat,summed,non,r_corr,space
M376,yes,yes,2,flat,summed,non,r_corr,graph
M377,yes,yes,2,flat,summed,non,cooc,space
M378,yes,yes,2,flat,summed,non,cooc,graph
M379,yes,yes,2,linear,forward,log,distance,space
M380,yes,yes,2,linear,forward,log,distance,graph
M381,yes,yes,2,linear,forward,log,cos,space
M382,yes,yes,2,linear,forward,log,cos,graph
M383,yes,yes,2,linear,forward,log,corr,space
M384,yes,yes,2,linear,forward,log,corr,graph
M385,yes,yes,2,linear,forward,log,r_distance,space
M386,yes,yes,2,linear,forward,log,r_distance,graph
M387,yes,yes,2,linear,forward,log,r_cos,space
M388,yes,yes,2,linear,forward,log,r_cos,graph
M389,yes,yes,2,linear,forward,log,r_corr,space
M390,yes,yes,2,linear,forward,log,r_corr,graph
M391,yes,yes,2,linear,forward,log,cooc,space
M392,yes,yes,2,linear,forward,log,cooc,graph
M393,yes,yes,2,linear,forward,ppmi,distance,space
M394,yes,yes,2,linear,forward,ppmi,distance,graph
M395,yes,yes,2,linear,forward,ppmi,cos,space
M396,yes,yes,2,linear,forward,ppmi,cos,graph
M397,yes,yes,2,linear,forward,ppmi,corr,space
M398,yes,yes,2,linear,forward,ppmi,corr,graph
M399,yes,yes,2,linear,forward,ppmi,r_distance,space
M400,yes,yes,2,linear,forward,ppmi,r_distance,graph
M401,yes,yes,2,linear,forward,ppmi,r_cos,space
M402,yes,yes,2,linear,forward,ppmi,r_cos,graph
M403,yes,yes,2,linear,forward,ppmi,r_corr,space
M404,yes,yes,2,linear,forward,ppmi,r_corr,graph
M405,yes,yes,2,linear,forward,ppmi,cooc,space
M406,yes,yes,2,linear,forward,ppmi,cooc,graph
M407,yes,yes,2,linear,forward,non,distance,space
M408,yes,yes,2,linear,forward,non,distance,graph
M409,yes,yes,2,linear,forward,non,cos,space
M410,yes,yes,2,linear,forward,non,cos,graph
M411,yes,yes,2,linear,forward,non,corr,space
M412,yes,yes,2,linear,forward,non,corr,graph
M413,yes,yes,2,linear,forward,non,r_distance,space
M414,yes,yes,2,linear,forward,non,r_distance,graph
M415,yes,yes,2,linear,forward,non,r_cos,space
M416,yes,yes,2,linear,forward,non,r_cos,graph
M417,yes,yes,2,linear,forward,non,r_corr,space
M418,yes,yes,2,linear,forward,non,r_corr,graph
M419,yes,yes,2,linear,forward,non,cooc,space
M420,yes,yes,2,linear,forward,non,cooc,graph
M421,yes,yes,2,linear,backward,log,distance,space
M422,yes,yes,2,linear,backward,log,distance,graph
M423,yes,yes,2,linear,backward,log,cos,space
M424,yes,yes,2,linear,backward,log,cos,graph
M425,yes,yes,2,linear,backward,log,corr,space
M426,yes,yes,2,linear,backward,log,corr,graph
M427,yes,yes,2,linear,backward,log,r_distance,space
M428,yes,yes,2,linear,backward,log,r_distance,graph
M429,yes,yes,2,linear,backward,log,r_cos,space
M430,yes,yes,2,linear,backward,log,r_cos,graph
M431,yes,yes,2,linear,backward,log,r_corr,space
M432,yes,yes,2,linear,backward,log,r_corr,graph
M433,yes,yes,2,linear,backward,log,cooc,space
M434,yes,yes,2,linear,backward,log,cooc,graph
M435,yes,yes,2,linear,backward,ppmi,distance,space
M436,yes,yes,2,linear,backward,ppmi,distance,graph
M437,yes,yes,2,linear,backward,ppmi,cos,space
M438,yes,yes,2,linear,backward,ppmi,cos,graph
M439,yes,yes,2,linear,backward,ppmi,corr,space
M440,yes,yes,2,linear,backward,ppmi,corr,graph
M441,yes,yes,2,linear,backward,ppmi,r_distance,space
M442,yes,yes,2,linear,backward,ppmi,r_distance,graph
M443,yes,yes,2,linear,backward,ppmi,r_cos,space
M444,yes,yes,2,linear,backward,ppmi,r_cos,graph
M445,yes,yes,2,linear,backward,ppmi,r_corr,space
M446,yes,yes,2,linear,backward,ppmi,r_corr,graph
M447,yes,yes,2,linear,backward,ppmi,cooc,space
M448,yes,yes,2,linear,backward,ppmi,cooc,graph
M449,yes,yes,2,linear,backward,non,distance,space
M450,yes,yes,2,linear,backward,non,distance,graph
M451,yes,yes,2,linear,backward,non,cos,space
M452,yes,yes,2,linear,backward,non,cos,graph
M453,yes,yes,2,linear,backward,non,corr,space
M454,yes,yes,2,linear,backward,non,corr,graph
M455,yes,yes,2,linear,backward,non,r_distance,space
M456,yes,yes,2,linear,backward,non,r_distance,graph
M457,yes,yes,2,linear,backward,non,r_cos,space
M458,yes,yes,2,linear,backward,non,r_cos,graph
M459,yes,yes,2,linear,backward,non,r_corr,space
M460,yes,yes,2,linear,backward,non,r_corr,graph
M461,yes,yes,2,linear,backward,non,cooc,space
M462,yes,yes,2,linear,backward,non,cooc,graph
M463,yes,yes,2,linear,summed,log,distance,space
M464,yes,yes,2,linear,summed,log,distance,graph
M465,yes,yes,2,linear,summed,log,cos,space
M466,yes,yes,2,linear,summed,log,cos,graph
M467,yes,yes,2,linear,summed,log,corr,space
M468,yes,yes,2,linear,summed,log,corr,graph
M469,yes,yes,2,linear,summed,log,r_distance,space
M470,yes,yes,2,linear,summed,log,r_distance,graph
M471,yes,yes,2,linear,summed,log,r_cos,space
M472,yes,yes,2,linear,summed,log,r_cos,graph
M473,yes,yes,2,linear,summed,log,r_corr,space
M474,yes,yes,2,linear,summed,log,r_corr,graph
M475,yes,yes,2,linear,summed,log,cooc,space
M476,yes,yes,2,linear,summed,log,cooc,graph
M477,yes,yes,2,linear,summed,ppmi,distance,space
M478,yes,yes,2,linear,summed,ppmi,distance,graph
M479,yes,yes,2,linear,summed,ppmi,cos,space
M480,yes,yes,2,linear,summed,ppmi,cos,graph
M481,yes,yes,2,linear,summed,ppmi,corr,space
M482,yes,yes,2,linear,summed,ppmi,corr,graph
M483,yes,yes,2,linear,summed,ppmi,r_distance,space
M484,yes,yes,2,linear,summed,ppmi,r_distance,graph
M485,yes,yes,2,linear,summed,ppmi,r_cos,space
M486,yes,yes,2,linear,summed,ppmi,r_cos,graph
M487,yes,yes,2,linear,summed,ppmi,r_corr,space
M488,yes,yes,2,linear,summed,ppmi,r_corr,graph
M489,yes,yes,2,linear,summed,ppmi,cooc,space
M490,yes,yes,2,linear,summed,ppmi,cooc,graph
M491,yes,yes,2,linear,summed,non,distance,space
M492,yes,yes,2,linear,summed,non,distance,graph
M493,yes,yes,2,linear,summed,non,cos,space
M494,yes,yes,2,linear,summed,non,cos,graph
M495,yes,yes,2,linear,summed,non,corr,space
M496,yes,yes,2,linear,summed,non,corr,graph
M497,yes,yes,2,linear,summed,non,r_distance,space
M498,yes,yes,2,linear,summed,non,r_distance,graph
M499,yes,yes,2,linear,summed,non,r_cos,space
M500,yes,yes,2,linear,summed,non,r_cos,graph
M501,yes,yes,2,linear,summed,non,r_corr,space
M502,yes,yes,2,linear,summed,non,r_corr,graph
M503,yes,yes,2,linear,summed,non,cooc,space
M504,yes,yes,2,linear,summed,non,cooc,graph
M505,yes,yes,7,flat,forward,log,distance,space
M506,yes,yes,7,flat,forward,log,distance,graph
M507,yes,yes,7,flat,forward,log,cos,space
M508,yes,yes,7,flat,forward,log,cos,graph
M509,yes,yes,7,flat,forward,log,corr,space
M510,yes,yes,7,flat,forward,log,corr,graph
M511,yes,yes,7,flat,forward,log,r_distance,space
M512,yes,yes,7,flat,forward,log,r_distance,graph
M513,yes,yes,7,flat,forward,log,r_cos,space
M514,yes,yes,7,flat,forward,log,r_cos,graph
M515,yes,yes,7,flat,forward,log,r_corr,space
M516,yes,yes,7,flat,forward,log,r_corr,graph
M517,yes,yes,7,flat,forward,log,cooc,space
M518,yes,yes,7,flat,forward,log,cooc,graph
M519,yes,yes,7,flat,forward,ppmi,distance,space
M520,yes,yes,7,flat,forward,ppmi,distance,graph
M521,yes,yes,7,flat,forward,ppmi,cos,space
M522,yes,yes,7,flat,forward,ppmi,cos,graph
