,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,mean,std_error
234,M235,yes,yes,1,linear,summed,ppmi,r_corr,space,0.4148198245849003,0.10283995448242896
235,M236,yes,yes,1,linear,summed,ppmi,r_corr,graph,0.23204853109860984,0.0995650772769922
236,M237,yes,yes,1,linear,summed,ppmi,cooc,space,0.7532519840025205,0.014846308151877126
237,M238,yes,yes,1,linear,summed,ppmi,cooc,graph,0.5123427766090223,0.012037435985303753
238,M239,yes,yes,1,linear,summed,non,distance,space,0.67995639678598,0.007890727237509037
239,M240,yes,yes,1,linear,summed,non,distance,graph,0.6365943307958936,0.023931707895422184
240,M241,yes,yes,1,linear,summed,non,cos,space,0.7558827071067171,0.002511757103677287
241,M242,yes,yes,1,linear,summed,non,cos,graph,0.6487652107227189,0.0023438341121465715
242,M243,yes,yes,1,linear,summed,non,corr,space,-0.7203815832703875,0.010602944267804974
243,M244,yes,yes,1,linear,summed,non,corr,graph,-0.41838199704159307,0.0402237143766664
244,M245,yes,yes,1,linear,summed,non,r_distance,space,0.6796022152289749,0.008573024799918397
245,M246,yes,yes,1,linear,summed,non,r_distance,graph,0.6348024545659765,0.02338734237677844
246,M247,yes,yes,1,linear,summed,non,r_cos,space,-0.2665928893834578,0.014791846172478803
247,M248,yes,yes,1,linear,summed,non,r_cos,graph,-0.3045990215482677,0.012823735907083553
248,M249,yes,yes,1,linear,summed,non,r_corr,space,-0.3188805831880609,0.010077227450664524
249,M250,yes,yes,1,linear,summed,non,r_corr,graph,0.6719519682890049,0.013145179240688594
250,M251,yes,yes,1,linear,summed,non,cooc,space,0.7839621961624959,0.005919497420222888
251,M252,yes,yes,1,linear,summed,non,cooc,graph,0.3415259395298663,0.011581389948839647
252,M253,yes,yes,2,flat,forward,log,distance,space,0.7255810022670023,0.01137461574583123
253,M254,yes,yes,2,flat,forward,log,distance,graph,0.7058102829209646,0.01365691940362873
254,M255,yes,yes,2,flat,forward,log,cos,space,0.7295468751883378,0.010561275182194968
255,M256,yes,yes,2,flat,forward,log,cos,graph,0.7042664692688503,0.01370075589836511
256,M257,yes,yes,2,flat,forward,log,corr,space,0.7211713145668599,0.012309156426532672
257,M258,yes,yes,2,flat,forward,log,corr,graph,0.5452818241929487,0.021734246535512872
258,M259,yes,yes,2,flat,forward,log,r_distance,space,0.7159611696693033,0.009495760851550543
259,M260,yes,yes,2,flat,forward,log,r_distance,graph,0.6716424069079948,0.02028846828290506
260,M261,yes,yes,2,flat,forward,log,r_cos,space,0.0010049482278873061,0.009323386343624
