,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,run,performance
228,M229,yes,yes,1,linear,summed,ppmi,corr,space,R1,-0.6923591880516814
229,M230,yes,yes,1,linear,summed,ppmi,corr,graph,R1,-0.06958829113670892
230,M231,yes,yes,1,linear,summed,ppmi,r_distance,space,R1,0.7496913213693042
231,M232,yes,yes,1,linear,summed,ppmi,r_distance,graph,R1,0.4110747869633796
232,M233,yes,yes,1,linear,summed,ppmi,r_cos,space,R1,0.5345342278630665
233,M234,yes,yes,1,linear,summed,ppmi,r_cos,graph,R1,0.24645515044688301
234,M235,yes,yes,1,linear,summed,ppmi,r_corr,space,R1,0.34373966718280646
235,M236,yes,yes,1,linear,summed,ppmi,r_corr,graph,R1,0.13808691605891796
236,M237,yes,yes,1,linear,summed,ppmi,cooc,space,R1,0.7617625112337464
237,M238,yes,yes,1,linear,summed,ppmi,cooc,graph,R1,0.5275645900105644
238,M239,yes,yes,1,linear,summed,non,distance,space,R1,0.6905018347692924
239,M240,yes,yes,1,linear,summed,non,distance,graph,R1,0.6614017436660133
240,M241,yes,yes,1,linear,summed,non,cos,space,R1,0.7555254794687231
241,M242,yes,yes,1,linear,summed,non,cos,graph,R1,0.6512078617417061
242,M243,yes,yes,1,linear,summed,non,corr,space,R1,-0.7104971218010372
243,M244,yes,yes,1,linear,summed,non,corr,graph,R1,-0.47026122069964293
244,M245,yes,yes,1,linear,summed,non,r_distance,space,R1,0.6903474119056519
245,M246,yes,yes,1,linear,summed,non,r_distance,graph,R1,0.662957429740878
246,M247,yes,yes,1,linear,summed,non,r_cos,space,R1,-0.26707871502103553
247,M248,yes,yes,1,linear,summed,non,r_cos,graph,R1,-0.2935950663276612
248,M249,yes,yes,1,linear,summed,non,r_corr,space,R1,-0.3197382099785134
249,M250,yes,yes,1,linear,summed,non,r_corr,graph,R1,0.6843515336391088
250,M251,yes,yes,1,linear,summed,non,cooc,space,R1,0.7818678865465635
251,M252,yes,yes,1,linear,summed,non,cooc,graph,R1,0.3237736552294839
252,M253,yes,yes,2,flat,forward,log,distance,space,R1,0.7432564854549828
253,M254,yes,yes,2,flat,forward,log,distance,graph,R1,0.7263810841708884
254,M255,yes,yes,2,flat,forward,log,cos,space,R1,0.74529158939241
255,M256,yes,yes,2,flat,forward,log,cos,graph,R1,0.7255344039367893
256,M257,yes,yes,2,flat,forward,log,corr,space,R1,0.7373077200994264
257,M258,yes,yes,2,flat,forward,log,corr,graph,R1,0.5647121972487357
258,M259,yes,yes,2,flat,forward,log,r_distance,space,R1,0.7167373142079632
259,M260,yes,yes,2,flat,forward,log,r_distance,graph,R1,0.6957910975059348
260,M261,yes,yes,2,flat,forward,log,r_cos,space,R1,0.012298753058197616
261,M262,yes,yes,2,flat,forward,log,r_cos,graph,R1,0.05470850300802595
262,M263,yes,yes,2,flat,forward,log,r_corr,space,R1,0.2753714353830711
263,M264,yes,yes,2,flat,forward,log,r_corr,graph,R1,0.29575046394100835
264,M265,yes,yes,2,flat,forward,log,cooc,space,R1,0.5838210673544395
265,M266,yes,yes,2,flat,forward,log,cooc,graph,R1,0.712264109260291
266,M267,yes,yes,2,flat,forward,ppmi,distance,space,R1,0.7429955746937741
267,M268,yes,yes,2,flat,forward,ppmi,distance,graph,R1,0.6707824154650448
268,M269,yes,yes,2,flat,forward,ppmi,cos,space,R1,0.7536718434403628
269,M270,yes,yes,2,flat,forward,ppmi,cos,graph,R1,0.7336189934951122
270,M271,yes,yes,2,flat,forward,ppmi,corr,space,R1,-0.46579097599079117
271,M272,yes,yes,2,flat,forward,ppmi,corr,graph,R1,-0.27154089638576295
272,M273,yes,yes,2,flat,forward,ppmi,r_distance,space,R1,0.7498053455613192
273,M274,yes,yes,2,flat,forward,ppmi,r_distance,graph,R1,0.7098002629197803
274,M275,yes,yes,2,flat,forward,ppmi,r_cos,space,R1,0.44704662944025286
275,M276,yes,yes,2,flat,forward,ppmi,r_cos,graph,R1,0.3939607939322914
276,M277,yes,yes,2,flat,forward,ppmi,r_corr,space,R1,0.23947688431617273
277,M278,yes,yes,2,flat,forward,ppmi,r_corr,graph,R1,0.1881682928266331
278,M279,yes,yes,2,flat,forward,ppmi,cooc,space,R1,0.584078369467287
279,M280,yes,yes,2,flat,forward,ppmi,cooc,graph,R1,0.8006122537798632
280,M281,yes,yes,2,flat,forward,non,distance,space,R1,0.7614986421478308
281,M282,yes,yes,2,flat,forward,non,distance,graph,R1,0.6881042134676819
282,M283,yes,yes,2,flat,forward,non,cos,space,R1,0.7618874408381098
283,M284,yes,yes,2,flat,forward,non,cos,graph,R1,0.6299938403821582
284,M285,yes,yes,2,flat,forward,non,corr,space,R1,0.7543632807201235
285,M286,yes,yes,2,flat,forward,non,corr,graph,R1,0.5880900060846407
286,M287,yes,yes,2,flat,forward,non,r_distance,space,R1,0.7184449874739333
287,M288,yes,yes,2,flat,forward,non,r_distance,graph,R1,0.6629251404622699
288,M289,yes,yes,2,flat,forward,non,r_cos,space,R1,0.22946375168088287
289,M290,yes,yes,2,flat,forward,non,r_cos,graph,R1,0.04805058203079585
290,M291,yes,yes,2,flat,forward,non,r_corr,space,R1,-0.04408407254620352
291,M292,yes,yes,2,flat,forward,non,r_corr,graph,R1,-0.3248380268834203
292,M293,yes,yes,2,flat,forward,non,cooc,space,R1,0.6004368203752278
293,M294,yes,yes,2,flat,forward,non,cooc,graph,R1,0.679395175373801
294,M295,yes,yes,2,flat,backward,log,distance,space,R1,0.7526091253880136
295,M296,yes,yes,2,flat,backward,log,distance,graph,R1,0.6183219190476327
296,M297,yes,yes,2,flat,backward,log,cos,space,R1,0.7563304708319647
297,M298,yes,yes,2,flat,backward,log,cos,graph,R1,0.6095600845347237
298,M299,yes,yes,2,flat,backward,log,corr,space,R1,-0.11969008218665457
299,M300,yes,yes,2,flat,backward,log,corr,graph,R1,-0.3491368294889632
300,M301,yes,yes,2,flat,backward,log,r_distance,space,R1,0.7398798385243747
301,M302,yes,yes,2,flat,backward,log,r_distance,graph,R1,0.6139212411728706
302,M303,yes,yes,2,flat,backward,log,r_cos,space,R1,-0.004251154849289866
303,M304,yes,yes,2,flat,backward,log,r_cos,graph,R1,-0.025484745210128047
304,M305,yes,yes,2,flat,backward,log,r_corr,space,R1,0.7056298059089479
305,M306,yes,yes,2,flat,backward,log,r_corr,graph,R1,0.6267368764284542
306,M307,yes,yes,2,flat,backward,log,cooc,space,R1,0.48903497648991306
307,M308,yes,yes,2,flat,backward,log,cooc,graph,R1,0.7631823462999378
308,M309,yes,yes,2,flat,backward,ppmi,distance,space,R1,0.760685236777014
309,M310,yes,yes,2,flat,backward,ppmi,distance,graph,R1,0.3762019877936691
310,M311,yes,yes,2,flat,backward,ppmi,cos,space,R1,0.7558817979770202
311,M312,yes,yes,2,flat,backward,ppmi,cos,graph,R1,0.6613258326156548
312,M313,yes,yes,2,flat,backward,ppmi,corr,space,R1,0.13212095952070402
313,M314,yes,yes,2,flat,backward,ppmi,corr,graph,R1,0.22235011397377719
314,M315,yes,yes,2,flat,backward,ppmi,r_distance,space,R1,0.7507949497550035
315,M316,yes,yes,2,flat,backward,ppmi,r_distance,graph,R1,0.41360675610011655
316,M317,yes,yes,2,flat,backward,ppmi,r_cos,space,R1,0.12910204856523605
317,M318,yes,yes,2,flat,backward,ppmi,r_cos,graph,R1,0.11924579529713433
318,M319,yes,yes,2,flat,backward,ppmi,r_corr,space,R1,0.3171423748423629
319,M320,yes,yes,2,flat,backward,ppmi,r_corr,graph,R1,0.1695558204321329
320,M321,yes,yes,2,flat,backward,ppmi,cooc,space,R1,0.48940573575685714
321,M322,yes,yes,2,flat,backward,ppmi,cooc,graph,R1,0.8112365049796456
322,M323,yes,yes,2,flat,backward,non,distance,space,R1,0.7232574938384705
323,M324,yes,yes,2,flat,backward,non,distance,graph,R1,0.705364783849517
324,M325,yes,yes,2,flat,backward,non,cos,space,R1,0.7317483178154919
325,M326,yes,yes,2,flat,backward,non,cos,graph,R1,0.7157174682703858
326,M327,yes,yes,2,flat,backward,non,corr,space,R1,-0.13235122812648492
327,M328,yes,yes,2,flat,backward,non,corr,graph,R1,-0.23565123060956236
328,M329,yes,yes,2,flat,backward,non,r_distance,space,R1,0.7264882173419326
329,M330,yes,yes,2,flat,backward,non,r_distance,graph,R1,0.6760587987918831
330,M331,yes,yes,2,flat,backward,non,r_cos,space,R1,0.6992352587105084
331,M332,yes,yes,2,flat,backward,non,r_cos,graph,R1,0.6737437147541786
332,M333,yes,yes,2,flat,backward,non,r_corr,space,R1,0.7147789669384405
